step,epoch,loss,lm,cls,rec,dist,ahead,lr
1,0,1.4515868425369263,1.375120759010315,0.665291965007782,,,0.19873832166194916,1.9999896186455852e-05
2,0,2.6642940044403076,2.589467763900757,0.6772714257240295,,,0.14198516309261322,1.9999584748092293e-05
3,0,2.229259967803955,2.158104419708252,0.6306347846984863,,,0.1618422567844391,1.9999065691715965e-05
4,0,1.995762825012207,1.9240115880966187,0.6392681002616882,,,0.15648844838142395,1.9998339028671094e-05
5,0,1.7647408246994019,1.6980723142623901,0.5821312665939331,,,0.16910885274410248,1.9997404774839252e-05
6,0,2.1805386543273926,2.0902817249298096,0.8376968502998352,,,0.1297415792942047,1.999626295063901e-05
7,0,2.211827039718628,2.151099681854248,0.5566416382789612,,,0.10126634687185287,1.999491358102548e-05
8,0,2.425689935684204,2.4176387786865234,,,,0.16102492809295654,1.9993356695489792e-05
9,0,1.2747730016708374,1.2127633094787598,0.5560938119888306,,,0.12800636887550354,1.999159232805843e-05
10,0,1.7225074768066406,1.6649558544158936,0.4927501380443573,,,0.16553175449371338,1.9989620517292498e-05
11,0,2.1656057834625244,2.1119577884674072,0.46725261211395264,,,0.1384558230638504,1.9987441306286873e-05
12,0,2.1631293296813965,2.109675407409668,0.44453752040863037,,,0.1800001859664917,1.9985054742669263e-05
13,0,1.8097444772720337,1.7580652236938477,0.44657909870147705,,,0.14042624831199646,1.9982460878599166e-05
14,0,1.30721914768219,1.2591203451156616,0.41369837522506714,,,0.13458038866519928,1.9979659770766737e-05
15,0,1.782381534576416,1.7379953861236572,0.3798094391822815,,,0.12810435891151428,1.997665148039154e-05
16,0,1.5776727199554443,1.5300166606903076,0.3909150958061218,,,0.17129288613796234,1.9973436073221214e-05
17,0,2.4065423011779785,2.2737276554107666,1.2470624446868896,,,0.16216835379600525,1.9970013619530037e-05
18,0,2.5345444679260254,2.495884656906128,0.32291269302368164,,,0.12737199664115906,1.996638419411739e-05
19,0,1.923837661743164,1.8856104612350464,0.3231213688850403,,,0.11830086261034012,1.9962547876306107e-05
20,0,2.0605337619781494,1.9198650121688843,1.3321090936660767,,,0.14915573596954346,1.9958504749940776e-05
21,0,2.188582181930542,2.045313596725464,1.365257740020752,,,0.13485252857208252,1.9954254903385877e-05
22,0,2.0754826068878174,1.9324123859405518,1.3719404935836792,,,0.11752254515886307,1.9949798429523853e-05
23,0,1.7590129375457764,1.721673846244812,0.29078659415245056,,,0.16520994901657104,1.99451354257531e-05
24,0,2.1882541179656982,2.0343546867370605,1.4917924404144287,,,0.09440337866544724,1.9940265993985812e-05
25,0,1.4961521625518799,1.48977792263031,,,,0.12748487293720245,1.993519024064577e-05
26,0,1.5481576919555664,1.4101217985153198,1.3233219385147095,,,0.11407443881034851,1.9929908276666025e-05
27,0,2.4239399433135986,2.393106698989868,0.23922684788703918,,,0.1382128894329071,1.9924420217486443e-05
28,0,1.7709462642669678,1.7661997079849243,,,,0.094931960105896,1.9918726183051207e-05
29,0,1.6703784465789795,1.6639732122421265,,,,0.1281050443649292,1.991282629780619e-05
30,0,1.8892163038253784,1.8822336196899414,,,,0.1396530419588089,1.990672069069624e-05
31,0,1.4185523986816406,1.3894217014312744,0.236421138048172,,,0.10977229475975037,1.9900409495162344e-05
32,0,1.7552324533462524,1.5851356983184814,1.6306668519973755,,,0.14060233533382416,1.9893892849138726e-05
33,0,1.9481234550476074,1.8029881715774536,1.4065405130386353,,,0.08962345123291016,1.9887170895049842e-05
34,0,2.2206034660339355,2.0794084072113037,1.3601839542388916,,,0.10353153944015503,1.9880243779807236e-05
35,0,2.015714168548584,1.9883888959884644,0.219461128115654,,,0.10758496820926666,1.987311165480636e-05
36,0,1.3991650342941284,1.3702936172485352,0.22282001376152039,,,0.13178828358650208,1.986577467592325e-05
37,0,2.7514193058013916,2.7179133892059326,0.28068313002586365,,,0.1087525337934494,1.9858233003511124e-05
38,0,1.7419922351837158,1.712315320968628,0.23222994804382324,,,0.12907743453979492,1.9850486802396873e-05
39,0,1.0438016653060913,1.0108063220977783,0.26636558771133423,,,0.1271750032901764,1.9842536241877465e-05
40,0,1.1831896305084229,1.1547878980636597,0.20977303385734558,,,0.14848940074443817,1.9834381495716243e-05
41,0,2.714452028274536,2.685866355895996,0.235148623585701,,,0.10142018646001816,1.9826022742139118e-05
42,0,1.5452229976654053,1.3790929317474365,1.601349949836731,,,0.11990133672952652,1.981746016383069e-05
43,0,1.334001064300537,1.3057018518447876,0.22087609767913818,,,0.12423209846019745,1.9808693947930245e-05
44,0,1.4015392065048218,1.3733042478561401,0.22619417309761047,,,0.11231178045272827,1.9799724286027663e-05
45,0,1.9691534042358398,1.942837119102478,0.21213778853416443,,,0.10205051302909851,1.9790551374159236e-05
46,0,1.5848952531814575,1.5575693845748901,0.220615416765213,,,0.10528513044118881,1.9781175412803385e-05
47,0,1.3498995304107666,1.3222535848617554,0.23279795050621033,,,0.08732270449399948,1.9771596606876272e-05
48,0,2.0503628253936768,1.9022749662399292,1.4179584980010986,,,0.12583982944488525,1.9761815165727328e-05
49,0,1.5402116775512695,1.5133376121520996,0.20573705434799194,,,0.12600648403167725,1.9751831303134675e-05
50,0,2.121314287185669,1.9858564138412476,1.3087455034255981,,,0.09166687726974487,1.9741645237300448e-05
51,0,2.267024040222168,2.1476235389709473,1.1481330394744873,,,0.09174361079931259,1.9731257190846038e-05
52,0,1.7376621961593628,1.5971195697784424,1.354814887046814,,,0.10122399032115936,1.9720667390807218e-05
53,0,1.2177294492721558,1.1910803318023682,0.21188069880008698,,,0.10922125726938248,1.970987606862918e-05
54,0,1.5136806964874268,1.4827101230621338,0.2392716109752655,,,0.14086781442165375,1.969888346016149e-05
55,0,2.060452699661255,1.9356802701950073,1.186262607574463,,,0.12292557954788208,1.9687689805652902e-05
56,0,1.4281866550445557,1.2788110971450806,1.4447776079177856,,,0.09795758873224258,1.9676295349746155e-05
57,0,1.7959915399551392,1.6790014505386353,1.1095167398452759,,,0.12076834589242935,1.966470034147258e-05
58,0,2.122769832611084,2.090439796447754,0.27633118629455566,,,0.09393879771232605,1.965290503424668e-05
59,0,2.1488006114959717,2.1424667835235596,,,,0.12667444348335266,1.9640909685860594e-05
60,0,1.911123514175415,1.8763407468795776,0.3004942834377289,,,0.09466633945703506,1.9628714558478457e-05
61,0,1.4793621301651,1.4436018466949463,0.3063238561153412,,,0.10255863517522812,1.9616319918630663e-05
62,0,1.4833359718322754,1.4495270252227783,0.2848970293998718,,,0.10638484358787537,1.9603726037208055e-05
63,0,1.3955116271972656,1.35722815990448,0.3204176723957062,,,0.12483395636081696,1.9590933189455994e-05
64,0,1.3705812692642212,1.3410931825637817,0.24665215611457825,,,0.09645604342222214,1.9577941654968345e-05
65,0,1.329999327659607,1.2994197607040405,0.25928544998168945,,,0.0930202454328537,1.9564751717681372e-05
66,0,0.8250049948692322,0.8193199038505554,,,,0.11370180547237396,1.955136366586752e-05
67,0,1.7523092031478882,1.7215957641601562,0.2723606824874878,,,0.06954599916934967,1.9537777792129134e-05
68,0,1.4993529319763184,1.3732703924179077,1.2238690853118896,,,0.07391286641359329,1.9523994393392043e-05
69,0,1.9915366172790527,1.9590870141983032,0.2892875373363495,,,0.07041720300912857,1.9510013770899085e-05
70,0,1.1498576402664185,1.1171026229858398,0.2596351206302643,,,0.1358295977115631,1.9495836230203513e-05
71,0,1.181104302406311,1.1522692441940308,0.2479107826948166,,,0.08087961375713348,1.9481462081162327e-05
72,0,1.4189119338989258,1.2641794681549072,1.4946085214614868,,,0.1054345965385437,1.94668916379295e-05
73,0,1.2573832273483276,1.2247298955917358,0.2859596312046051,,,0.0811486765742302,1.94521252189491e-05
74,0,1.294663667678833,1.2638708353042603,0.26380589604377747,,,0.08824654668569565,1.9437163146948354e-05
75,0,1.3861085176467896,1.359930157661438,0.23132900893688202,,,0.06090926378965378,1.942200574893057e-05
76,0,0.9253273606300354,0.8950828909873962,0.2532497048377991,,,0.09838974475860596,1.9406653356167996e-05
77,0,0.9279038310050964,0.9023860096931458,0.2102140486240387,,,0.08992836624383926,1.9391106304194598e-05
78,0,2.168947696685791,2.1342525482177734,0.2956463098526001,,,0.10260941088199615,1.9375364932798698e-05
79,0,1.5887234210968018,1.5553927421569824,0.283809632062912,,,0.09899479150772095,1.935942958601558e-05
80,0,1.142479419708252,1.1158603429794312,0.22822722792625427,,,0.07592751085758209,1.934330061211994e-05
81,0,1.7351895570755005,1.6839033365249634,0.4802094101905823,,,0.06530465185642242,1.9326978363618294e-05
82,0,0.9392011165618896,0.905699610710144,0.3005458414554596,,,0.0689382255077362,1.9310463197241264e-05
83,0,2.161731481552124,2.0317087173461914,1.253684639930725,,,0.0930875912308693,1.929375547393579e-05
84,0,2.2880256175994873,2.1762216091156006,1.0794330835342407,,,0.07721491158008575,1.927685555885723e-05
85,0,1.43094003200531,1.4035332202911377,0.21721552312374115,,,0.11370446532964706,1.925976382136139e-05
86,0,1.1375893354415894,1.0251771211624146,1.0765656232833862,,,0.09511186927556992,1.9242480634996453e-05
87,0,0.9400486946105957,0.9087591171264648,0.2670708894729614,,,0.09164925664663315,1.92250063774948e-05
88,0,1.2380871772766113,1.2080090045928955,0.25857409834861755,,,0.08441416174173355,1.9207341430764776e-05
89,0,1.939586877822876,1.91202974319458,0.23578014969825745,,,0.07958077639341354,1.9189486180882312e-05
90,0,1.2654954195022583,1.164338231086731,0.9488765001296997,,,0.12539128959178925,1.9171441018082527e-05
91,0,2.034198045730591,2.029738426208496,,,,0.08919442445039749,1.915320633675117e-05
92,0,1.3183622360229492,1.290012001991272,0.2420581877231598,,,0.08288811892271042,1.9134782535416003e-05
93,0,0.7098987102508545,0.681699275970459,0.24860438704490662,,,0.06678003072738647,1.9116170016738103e-05
94,0,1.7040835618972778,1.6616897583007812,0.37329933047294617,,,0.10127774626016617,1.909736918750306e-05
95,0,0.9420461654663086,0.9011099934577942,0.35494086146354675,,,0.10884150862693787,1.907838045861207e-05
96,0,1.371315836906433,1.3389078378677368,0.2795931100845337,,,0.08897408843040466,1.9059204245072977e-05
97,0,1.333725094795227,1.3011257648468018,0.2896372079849243,,,0.0727129876613617,1.9039840965991196e-05
98,0,1.3319807052612305,1.2847530841827393,0.4280756413936615,,,0.08840084075927734,1.9020291044560533e-05
99,0,1.3114272356033325,1.2813787460327148,0.2730186879634857,,,0.05493206903338432,1.9000554908053973e-05
100,0,1.4235434532165527,1.394713282585144,0.24439376592636108,,,0.08781618624925613,1.8980632987814306e-05
