step,epoch,loss,lm,cls,rec,dist,ahead,lr
1,0,1.5024709701538086,1.3982365131378174,0.665291965007782,0.5553674697875977,0.0,0.19873832166194916,1.9999896186455852e-05
2,0,2.672916889190674,2.584644317626953,0.679151713848114,0.2650444507598877,7.710089562351641e-07,0.14210398495197296,1.9999584748092293e-05
3,0,2.232753276824951,2.1504287719726562,0.6288285255432129,0.22702300548553467,1.0939201047222014e-06,0.1618085652589798,1.9999065691715965e-05
4,0,2.010307788848877,1.9201195240020752,0.6353679299354553,0.37654101848602295,1.2941555951329065e-06,0.1564863920211792,1.9998339028671094e-05
5,0,1.6471984386444092,1.5707299709320068,0.5816554427146912,0.19704580307006836,1.4181221104081487e-06,0.16901297867298126,1.9997404774839252e-05
6,0,1.9756417274475098,1.8691529035568237,0.8370000123977661,0.3260193467140198,1.5974379721228615e-06,0.12975576519966125,1.999626295063901e-05
7,0,2.1237692832946777,2.056694507598877,0.5593751668930054,0.12155613303184509,1.498145593359368e-06,0.10118939727544785,1.999491358102548e-05
8,0,2.3803842067718506,2.35463285446167,,0.35395383834838867,1.7215770640177652e-06,0.16107049584388733,1.9993356695489792e-05
9,0,1.2541308403015137,1.1880629062652588,0.5567225813865662,0.07993608713150024,1.8641330825630575e-06,0.12797656655311584,1.999159232805843e-05
10,0,1.6508692502975464,1.578521728515625,0.49337396025657654,0.29467055201530457,1.8134318224838353e-06,0.16553087532520294,1.9989620517292498e-05
11,0,2.072871208190918,2.0071234703063965,0.4714772701263428,0.23378318548202515,1.908435251607443e-06,0.13821753859519958,1.9987441306286873e-05
12,0,2.081742525100708,2.024700164794922,0.4403914511203766,0.08017560094594955,1.921537432281184e-06,0.17988905310630798,1.9985054742669263e-05
13,0,1.6797122955322266,1.6177170276641846,0.44586724042892456,0.2078719586133957,2.2296801489574136e-06,0.14029811322689056,1.9982460878599166e-05
14,0,1.2647380828857422,1.213147521018982,0.4139901101589203,0.06989310681819916,1.9840554159600288e-06,0.13393959403038025,1.9979659770766737e-05
15,0,1.7542201280593872,1.6983747482299805,0.37846145033836365,0.2318832278251648,2.1171299522393383e-06,0.12810342013835907,1.997665148039154e-05
16,0,1.6184991598129272,1.5584971904754639,0.3872423470020294,0.25460565090179443,2.1792484403704293e-06,0.1709512621164322,1.9973436073221214e-05
17,0,2.250865936279297,2.1040613651275635,1.245901346206665,0.2824888825416565,2.4263390514533967e-06,0.16180194914340973,1.9970013619530037e-05
18,0,2.5212326049804688,2.4734184741973877,0.32006871700286865,0.18904268741607666,2.3294824131880887e-06,0.12709911167621613,1.996638419411739e-05
19,0,1.8482136726379395,1.8082165718078613,0.31889933347702026,0.04400382563471794,2.398258175162482e-06,0.11813918501138687,1.9962547876306107e-05
20,0,2.1213815212249756,1.9677422046661377,1.3363317251205444,0.2511817514896393,2.4558862605772447e-06,0.14894017577171326,1.9958504749940776e-05
21,0,2.1414356231689453,1.989511251449585,1.377936840057373,0.14779724180698395,2.5535821350786136e-06,0.13481557369232178,1.9954254903385877e-05
22,0,2.0290584564208984,1.881765365600586,1.3786190748214722,0.0716475248336792,2.699474180190009e-06,0.11697231978178024,1.9949798429523853e-05
23,0,1.648842692375183,1.6087158918380737,0.28846436738967896,0.06081033870577812,2.636386170706828e-06,0.16479738056659698,1.99451354257531e-05
24,0,2.095848321914673,1.9355087280273438,1.5021182298660278,0.10827719420194626,2.730806500039762e-06,0.09427855163812637,1.9940265993985812e-05
25,0,1.2764040231704712,1.267663836479187,,0.04781511425971985,2.7812441203423077e-06,0.1269894391298294,1.993519024064577e-05
26,0,1.525975227355957,1.3842185735702515,1.3413054943084717,0.03828458487987518,3.030258312719525e-06,0.1142338216304779,1.9929908276666025e-05
27,0,2.4506449699401855,2.4160749912261963,0.23664510250091553,0.08041492849588394,2.651084741955856e-06,0.13769768178462982,1.9924420217486443e-05
28,0,1.68180513381958,1.6740659475326538,,0.06054782494902611,3.0205924304027576e-06,0.09423364698886871,1.9918726183051207e-05
29,0,1.5887969732284546,1.5774136781692505,,0.09993424266576767,2.90110551759426e-06,0.12773263454437256,1.991282629780619e-05
30,0,1.8496754169464111,1.8404093980789185,,0.04564680904150009,3.0902324397175107e-06,0.13967150449752808,1.990672069069624e-05
31,0,1.4056296348571777,1.3733303546905518,0.23554742336273193,0.0653349757194519,2.9118552902218653e-06,0.10955595970153809,1.9900409495162344e-05
32,0,1.6568609476089478,1.4808510541915894,1.6402719020843506,0.09932500869035721,3.036717998838867e-06,0.14032717049121857,1.9893892849138726e-05
33,0,1.8946466445922852,1.7482948303222656,1.3984293937683105,0.040379468351602554,3.167969680362148e-06,0.0897945836186409,1.9887170895049842e-05
34,0,2.239276647567749,2.095372438430786,1.3643016815185547,0.046336062252521515,3.2882978757697856e-06,0.10314668715000153,1.9880243779807236e-05
35,0,1.929914116859436,1.9005244970321655,0.2195986658334732,0.04074416309595108,2.8691663374047494e-06,0.10785044729709625,1.987311165480636e-05
36,0,1.4272029399871826,1.3958461284637451,0.22124288976192474,0.05227690190076828,3.0513660931319464e-06,0.13237102329730988,1.986577467592325e-05
37,0,2.6219704151153564,2.586371898651123,0.28089630603790283,0.04165895655751228,3.3055368930945406e-06,0.10851921141147614,1.9858233003511124e-05
38,0,1.7973510026931763,1.763515591621399,0.23466087877750397,0.07832218706607819,3.4195181797258556e-06,0.12906189262866974,1.9850486802396873e-05
39,0,1.0624288320541382,1.026289463043213,0.26660850644111633,0.06241156533360481,3.1798126656212844e-06,0.12715764343738556,1.9842536241877465e-05
40,0,1.170931100845337,1.133644938468933,0.21329833567142487,0.17026716470718384,2.944294692497351e-06,0.1488587111234665,1.9834381495716243e-05
41,0,2.586660623550415,2.55526065826416,0.23510368168354034,0.056394319981336594,3.2846069188963156e-06,0.10139274597167969,1.9826022742139118e-05
42,0,1.5095252990722656,1.3407347202301025,1.597642421722412,0.0607171505689621,3.3980732041527517e-06,0.11980458348989487,1.981746016383069e-05
