step,epoch,loss,lm,cls,rec,dist,ahead,lr
59,0,2.0678319931030273,2.056628465652466,,0.06710443645715714,3.6983062727813376e-06,0.15696580708026886,1.9640909685860594e-05
60,0,1.883689045906067,1.8423165082931519,0.3052230477333069,0.10694965720176697,3.515209527904517e-06,0.11005154997110367,1.9628714558478457e-05
61,0,1.469887614250183,1.426710605621338,0.32355982065200806,0.09003154188394547,3.5073348954028916e-06,0.12638452649116516,1.9616319918630663e-05
62,0,1.4404778480529785,1.3994150161743164,0.2953999638557434,0.10138444602489471,3.4384345326543553e-06,0.12907063961029053,1.9603726037208055e-05
63,0,1.3747026920318604,1.327873706817627,0.3320591449737549,0.12347723543643951,3.959220521210227e-06,0.14898280799388885,1.9590933189455994e-05
64,0,1.3381932973861694,1.302608847618103,0.2566547095775604,0.07225079834461212,3.675216703413753e-06,0.12612588703632355,1.9577941654968345e-05
65,0,1.2957406044006348,1.2599817514419556,0.26847562193870544,0.05271075665950775,3.801448201556923e-06,0.12551327049732208,1.9564751717681372e-05
66,0,0.7842578887939453,0.7736950516700745,,0.07047654688358307,3.5941261558036786e-06,0.1407790184020996,1.955136366586752e-05
67,0,1.7290610074996948,1.693647027015686,0.28089430928230286,0.05562824010848999,3.600932814151747e-06,0.09086175262928009,1.9537777792129134e-05
68,0,1.5051170587539673,1.3789801597595215,1.1971017122268677,0.025365298613905907,4.036907284898916e-06,0.10316719114780426,1.9523994393392043e-05
69,0,1.9812004566192627,1.9441639184951782,0.3014882504940033,0.041803471744060516,3.823260158242192e-06,0.09594645351171494,1.9510013770899085e-05
70,0,1.1327260732650757,1.0908921957015991,0.2646944522857666,0.16169333457946777,3.7931333736196393e-06,0.1455916315317154,1.9495836230203513e-05
71,0,1.2331864833831787,1.2001739740371704,0.2513258159160614,0.05176575854420662,4.000722583441529e-06,0.10583264380693436,1.9481462081162327e-05
72,0,1.393717885017395,1.2366175651550293,1.4772907495498657,0.04792623221874237,3.963285962527152e-06,0.13949571549892426,1.94668916379295e-05
73,0,1.2039191722869873,1.167653203010559,0.2888450622558594,0.036149151623249054,4.14550413552206e-06,0.11147691309452057,1.94521252189491e-05
74,0,1.2845295667648315,1.247458577156067,0.274599552154541,0.07596104592084885,3.87314730687649e-06,0.11625707149505615,1.9437163146948354e-05
75,0,1.3225189447402954,1.2920558452606201,0.23599548637866974,0.04145156219601631,3.6648991681431653e-06,0.09581691771745682,1.942200574893057e-05
76,0,0.8680772185325623,0.8316378593444824,0.2573070824146271,0.09099158644676208,3.798390252995887e-06,0.12317971140146255,1.9406653356167996e-05
77,0,0.9429534673690796,0.9120052456855774,0.2150767743587494,0.05328543856739998,3.7312468066375004e-06,0.1355244219303131,1.9391106304194598e-05
78,0,2.1515634059906006,2.111391305923462,0.29039326310157776,0.09389814734458923,4.050767529406585e-06,0.12875473499298096,1.9375364932798698e-05
79,0,1.5741811990737915,1.5360643863677979,0.28675344586372375,0.053842995315790176,4.442411409399938e-06,0.1349843442440033,1.935942958601558e-05
80,0,1.0819323062896729,1.052139163017273,0.2287493348121643,0.03231050446629524,4.260958576196572e-06,0.10605060309171677,1.934330061211994e-05
81,0,1.698024868965149,1.6426959037780762,0.4866063594818115,0.04701974242925644,4.816404270968633e-06,0.0863431841135025,1.9326978363618294e-05
82,0,0.9003960490226746,0.8636698722839355,0.30176281929016113,0.03106830082833767,4.735959464596817e-06,0.09992729872465134,1.9310463197241264e-05
