model,n,prevalence,ci_unit,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,brier,ece,threshold,tp,tn,fp,fn,acc,sens,spec,prec,f1
full_s0,118,0.2542372881355932,image,0.9628787878787879,0.9298633252859082,0.9883870967741936,0.9179646697185396,0.8281889289508737,0.9729516579204933,0.06654237104115847,0.053108979340137544,0.1778152734041214,28,77,11,2,0.8898305084745762,0.9333333333333333,0.875,0.717948717948718,0.8115942028985509
oracle_s0,118,0.2542372881355932,image,0.962121212121212,0.9262090380058109,0.9878787878787879,0.9193448286069544,0.8377458325109988,0.9736323399687545,0.06580703833875955,0.0655517242138542,0.156405508518219,28,74,14,2,0.864406779661017,0.9333333333333333,0.8409090909090909,0.6666666666666666,0.7777777777777778
no_attr_s0,118,0.2542372881355932,image,0.9587121212121211,0.9206419605196023,0.9876085175419285,0.9143917809828275,0.8245565709328113,0.9718741149773082,0.06803337208718932,0.06617226503726281,0.18370340764522552,28,75,13,2,0.8728813559322034,0.9333333333333333,0.8522727272727273,0.6829268292682927,0.7887323943661972
resnet50,118,0.2542372881355932,image,0.9553030303030303,0.9174603174603174,0.9864541422629658,0.8362292806971344,0.686220884204085,0.9631857578132056,0.07761264157940027,0.06921714123257294,0.2231426050805795,27,75,13,3,0.864406779661017,0.9,0.8522727272727273,0.675,0.7714285714285714
convnext_tiny,118,0.2542372881355932,image,0.9537878787878787,0.9109840567041654,0.9849498327759196,0.9037648490849753,0.8055065717628201,0.9650525144672721,0.08265461251515142,0.08795657150963838,0.3130549435245154,25,81,7,5,0.8983050847457628,0.8333333333333334,0.9204545454545454,0.78125,0.8064516129032259
swin_tiny,118,0.2542372881355932,image,0.9276515151515152,0.867411408036408,0.973391467778972,0.8646355177100391,0.7437652893504627,0.9466259120934856,0.09447608262343347,0.10115898690510784,0.2277118149810212,25,77,11,5,0.864406779661017,0.8333333333333334,0.875,0.6944444444444444,0.7575757575757577
llava_lora,118,0.2542372881355932,image,0.8715909090909091,0.7968252422682802,0.9366579432091299,0.6362578220398495,0.4757767636042348,0.8159630229804521,0.14986559644834913,0.15127868096840708,0.18244440071409873,27,70,18,3,0.8220338983050848,0.9,0.7954545454545454,0.6,0.7200000000000001
llava_zeroshot,118,0.2542372881355932,image,0.8212121212121212,0.7397054861469082,0.8963589631425678,0.5188626971737826,0.3729197541174772,0.7198421705289608,0.1944895914482556,0.21892634449540696,0.4999996069566056,25,57,31,5,0.6949152542372882,0.8333333333333334,0.6477272727272727,0.44642857142857145,0.5813953488372092
