reference,other,n,auroc_ref,auroc_other,delong_p,mcnemar_b,mcnemar_c,mcnemar_p,delong_p_holm,mcnemar_p_holm
full_s0,no_attr_s0,118,0.9628787878787879,0.9587121212121212,0.19620200876740768,2,0,0.5,0.7848080350696307,1.0
full_s0,oracle_s0,118,0.9628787878787879,0.9621212121212122,0.7339253685741651,3,0,0.25,1.0,1.0
full_s0,convnext_tiny,118,0.9628787878787879,0.9537878787878787,0.5956600693167218,5,6,1.0,1.0,1.0
full_s0,llava_lora,118,0.9628787878787879,0.8715909090909091,0.011918852315624395,15,7,0.13380050659179688,,
full_s0,llava_zeroshot,118,0.9628787878787879,0.8212121212121212,0.000775099749657171,31,8,0.0002940768754342571,0.004650598497943026,0.0017644612526055425
full_s0,resnet50,118,0.9628787878787879,0.9553030303030303,0.6401687099712807,8,5,0.5810546875,1.0,1.0
full_s0,swin_tiny,118,0.9628787878787879,0.9276515151515151,0.13102056500339954,8,5,0.5810546875,0.6551028250169977,1.0
